Current frame at 60 Truck time since update: 0, is_confirmed: False
Current frame at 61 Truck time since update: 0, is_confirmed: False
Current frame at 62 Truck time since update: 0, is_confirmed: True
Current frame at 63 Truck time since update: 0, is_confirmed: True
Current frame at 64 Truck time since update: 0, is_confirmed: True
Current frame at 65 Truck time since update: 0, is_confirmed: True
Current frame at 66 Truck time since update: 0, is_confirmed: True
Current frame at 67 Truck time since update: 0, is_confirmed: True
Current frame at 68 Truck time since update: 0, is_confirmed: True
Current frame at 69 Truck time since update: 0, is_confirmed: True
Current frame at 70 Truck time since update: 0, is_confirmed: True
Current frame at 71 Truck time since update: 0, is_confirmed: True
Current frame at 72 Truck time since update: 0, is_confirmed: True
Current frame at 73 Truck time since update: 0, is_confirmed: True
debugging start!
Current frame at 74 Truck time since update: 0, is_confirmed: True
Current frame at 75 Truck time since update: 0, is_confirmed: True
Current frame at 76 Truck time since update: 0, is_confirmed: True
Current frame at 77 Truck time since update: 0, is_confirmed: True
Current frame at 78 Truck time since update: 0, is_confirmed: True
Current frame at 79 Truck time since update: 0, is_confirmed: True
Current frame at 80 Truck time since update: 0, is_confirmed: True
Current frame at 81 Truck time since update: 0, is_confirmed: True
Current frame at 82 Truck time since update: 0, is_confirmed: True
Current frame at 83 Truck time since update: 0, is_confirmed: True
Current frame at 84 Truck time since update: 0, is_confirmed: True
Current frame at 85 Truck time since update: 0, is_confirmed: True
Current frame at 86 Truck time since update: 0, is_confirmed: True
Current frame at 87 Truck time since update: 0, is_confirmed: True
Current frame at 88 Truck time since update: 0, is_confirmed: True
Current frame at 89 Truck time since update: 0, is_confirmed: True
Current frame at 90 Truck time since update: 0, is_confirmed: True
Current frame at 91 Truck time since update: 0, is_confirmed: True
Current frame at 92 Truck time since update: 0, is_confirmed: True
Current frame at 93 Truck time since update: 0, is_confirmed: True
Current frame at 94 Truck time since update: 0, is_confirmed: True
Current frame at 95 Truck time since update: 0, is_confirmed: True
Current frame at 96 Truck time since update: 0, is_confirmed: True
Current frame at 97 Truck time since update: 0, is_confirmed: True
Current frame at 98 Truck time since update: 0, is_confirmed: True
Current frame at 99 Truck time since update: 0, is_confirmed: True
Current frame at 100 Truck time since update: 0, is_confirmed: True
Current frame at 101 Truck time since update: 0, is_confirmed: True
Current frame at 102 Truck time since update: 0, is_confirmed: True
Current frame at 103 Truck time since update: 0, is_confirmed: True
Current frame at 104 Truck time since update: 0, is_confirmed: True
